,Longitude,Latitude,Nitrogen,Status
201,-134.6813646,46.27850916,2.394,Normal
202,-134.6813702,46.27836577,2.567,Excess
203,-134.681339,46.27840385,2.293,Normal
204,-134.6812994,46.27845224,2.488,Excess
205,-134.6812669,46.27848986,2.801,Excess
206,-134.6812361,46.27852847,2.669,Excess
207,-134.6812061,46.27856362,2.576,Excess
208,-134.6811738,46.27860204,2.776,Excess
209,-134.6811358,46.27864897,2.633,Excess
210,-134.6811049,46.27868617,2.56,Excess
211,-134.6810734,46.2787244,2.625,Excess
212,-134.6810433,46.27875996,2.354,Normal
213,-134.6810132,46.27879813,2.907,Excess
214,-134.68098,46.27883557,2.509,Excess
215,-134.68095,46.27887336,2.343,Normal
216,-134.6809265,46.27890083,2.312,Normal
217,-134.6808877,46.27894893,2.721,Excess
218,-134.6808488,46.27899275,2.311,Normal
219,-134.6813292,46.2784615,2.279,Normal
220,-134.6813638,46.2784213,2.092,Normal
221,-134.6812975,46.27849998,2.413,Excess
222,-134.681257,46.27854807,2.244,Normal
223,-134.6812217,46.27859108,2.567,Excess
224,-134.6811748,46.27864774,2.358,Normal
225,-134.6811289,46.27870285,2.443,Excess
226,-134.6810965,46.2787407,2.425,Excess
228,-134.6810319,46.2788179,2.584,Excess
229,-134.6810006,46.27885586,2.381,Normal
230,-134.6809679,46.2788962,2.446,Excess
231,-134.680934,46.27893638,2.306,Normal
232,-134.6808933,46.27898462,2.129,Normal
233,-134.680871,46.2790121,2.584,Excess
234,-134.6813615,46.27846987,2.721,Excess
235,-134.6813178,46.27852278,2.371,Normal
236,-134.6812762,46.27857241,2.595,Excess
237,-134.6812422,46.27861309,2.564,Excess
238,-134.6812088,46.27865344,2.736,Excess
239,-134.6811779,46.2786921,2.529,Excess
240,-134.6811444,46.27873212,2.655,Excess
241,-134.6811122,46.27876924,2.574,Excess
242,-134.6810819,46.27880612,2.437,Excess
243,-134.6810497,46.27884598,2.398,Normal
244,-134.6810237,46.2788763,2.143,Normal
245,-134.6809908,46.27891637,2.332,Normal
246,-134.6809587,46.27895643,2.547,Excess
247,-134.6809245,46.2789951,2.278,Normal
248,-134.6809104,46.2790132,2.345,Normal
249,-134.6813489,46.27852868,2.121,Normal
250,-134.6813186,46.27856629,2.487,Excess
251,-134.6812859,46.27860606,2.299,Normal
252,-134.6812551,46.27864462,2.613,Excess
253,-134.6812204,46.27868597,2.288,Normal
254,-134.681189,46.27872403,2.62,Excess
255,-134.681156,46.27876406,2.81,Excess
256,-134.681131,46.2787937,2.613,Excess
257,-134.681099,46.278832,2.528,Excess
